code,schemeType,fundType,schemeCategory,plan,schemeMin,sip,investmentObjective,aum,risk,fundManager,schemeName,returnsInception,returnsYear1,returnsYear3,returnsYear5,returnsYear10,ISIN,expenseRatio,taxPeriod,navCode
IDDGSM-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND MONTHLY,5000,N,The scheme seeks to generate optimal returns with high liquidity by investing in Government Securities such that weighted average portfolio maturity of around 10 years.,1080,5.29847,Harshal Joshi,IDFC Government Securities Constant Maturity Monthly Dividend Reinvest Direct Plan,0,0,0,0,9.94,INF194K01P46,0.34,1095,118390
IDDGSM-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND MONTHLY,5000,Y,The scheme seeks to generate optimal returns with high liquidity by investing in Government Securities such that weighted average portfolio maturity of around 10 years.,1080,5.29847,Harshal Joshi,IDFC Government Securities Constant Maturity Monthly Dividend Payout Direct Plan,0,0,0,0,10.74,INF194K01P53,0.34,1095,118390
IDDGSM-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND MONTHLY,5000,Y,The scheme seeks to generate optimal returns with high liquidity by investing in Government Securities such that weighted average portfolio maturity of around 10 years.,1080,5.29847,Harshal Joshi,IDFC Government Securities Constant Maturity Monthly Dividend Reinvest Direct Plan,0,0,0,0,3.87,INF194K01P53,0.34,1095,118390
IDDGSM-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND QUARTERLY,5000,N,The scheme seeks to generate optimal returns with high liquidity by investing in Government Securities such that weighted average portfolio maturity of around 10 years.,1590,6.1496,Harshal Joshi,IDFC Government Securities Constant Maturity Quarterly Dividend Reinvest Direct Plan,0,11.2459,8.333,7.4433,3.34,INF194K01P79,0.4,1095,118388
IDDGSM-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND QUARTERLY,5000,Y,The scheme seeks to generate optimal returns with high liquidity by investing in Government Securities such that weighted average portfolio maturity of around 10 years.,1590,6.1496,Harshal Joshi,IDFC Government Securities Constant Maturity Quarterly Dividend Payout Direct Plan,0,11.2459,8.333,7.4433,10.37,INF194K01P87,0.4,1095,118388
IDDGSM-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND QUARTERLY,5000,Y,The scheme seeks to generate optimal returns with high liquidity by investing in Government Securities such that weighted average portfolio maturity of around 10 years.,1590,6.1496,Harshal Joshi,IDFC Government Securities Constant Maturity Quarterly Dividend Reinvest Direct Plan,0,11.2459,8.333,7.4433,3.19,INF194K01P87,0.4,1095,118388
IDDGSM-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND WEEKLY,5000,Y,The scheme seeks to generate optimal returns with high liquidity by investing in Government Securities such that weighted average portfolio maturity of around 10 years.,1590,3.22917,Harshal Joshi,IDFC Government Securities Constant Maturity Weekly Dividend Reinvest Direct Plan,9.0741,1.1708,6.2256,0,2.44,INF194K01Q03,0.4,1095,118389
D86-GR,Open Ended,Debt,Debt - Bonds,GROWTH,5000,Y,To generate optimal returns with high liquidity by investing in Government securities,4790,4.68713,Suyash Choudhary,IDFC Government Securities Investment Growth Direct Plan,10.2752,16.9985,9.8373,9.4793,8.21,INF194K01Q29,0.42,1095,118464
HDCDNDT-DR,Open Ended,Debt,Debt - Bonds,AS N WHEN,5000,Y,To generate regular income and capital appreciation by investing predominantly in corporate debt.,146970,1.38038,Shobhit Mehrotra,HDFC Credit Risk Debt Normal Dividend Reinvest Direct Plan,8.9607,9.7715,7.9841,0,8.83,INF179KA1I61,1.06,1095,133147
HBPGT-GR,Open Ended,Debt,Debt - Bonds,GROWTH,5000,Y,To generate income / capital appreciation through investments in debt and money market instruments consisting predominantly of securities issued by entities such as Scheduled Commercial Banks (SCBs); Public Sector undertakings (PSUs); Public Financial Institutions (PFIs); Municipal Corporations and such other bodies. There is no assurance that the investment objective of the Scheme will be realized.,53220,1.40004,Anil Bamboli,HDFC Banking & PSU Debt Growth Direct Plan,8.957,10.3836,8.4039,8.9194,2.99,INF179KA1IZ7,1.06,1095,128629
